product_name,product_category,total_sales,sale_date
Smartphone,Electronics,5000,2023-01-15
Laptop,Electronics,7500,2023-01-16
Running Shoes,Sports,3200,2023-01-17
Headphones,Electronics,2800,2023-01-18
Fitness Tracker,Sports,1900,2023-01-19
Tablet,Electronics,4600,2023-01-20
Basketball,Sports,1500,2023-01-21
Wireless Earbuds,Electronics,3700,2023-01-22
Smart Watch,Electronics,4200,2023-01-23
Tennis Racket,Sports,2300,2023-01-24
Gaming Console,Electronics,6000,2023-01-25
Soccer Ball,Sports,1800,2023-01-26
Smartphone,Electronics,5200,2023-01-27
Laptop,Electronics,7600,2023-01-28
Running Shoes,Sports,3300,2023-01-29
Headphones,Electronics,2900,2023-01-30
Fitness Tracker,Sports,2000,2023-01-31
Tablet,Electronics,4700,2023-02-01
Basketball,Sports,1600,2023-02-02
Wireless Earbuds,Electronics,3800,2023-02-03
Smart Watch,Electronics,4300,2023-02-04
Tennis Racket,Sports,2400,2023-02-05
Gaming Console,Electronics,6100,2023-02-06
Soccer Ball,Sports,1900,2023-02-07
Smartphone,Electronics,5300,2023-02-08
Laptop,Electronics,7700,2023-02-09
Running Shoes,Sports,3400,2023-02-10
Headphones,Electronics,3000,2023-02-11
Fitness Tracker,Sports,2100,2023-02-12
Tablet,Electronics,4800,2023-02-13
Basketball,Sports,1700,2023-02-14
Wireless Earbuds,Electronics,3900,2023-02-15
Smart Watch,Electronics,4400,2023-02-16
Tennis Racket,Sports,2500,2023-02-17
Gaming Console,Electronics,6200,2023-02-18
Soccer Ball,Sports,2000,2023-02-19
Smartphone,Electronics,5400,2023-02-20
Laptop,Electronics,7800,2023-02-21
Running Shoes,Sports,3500,2023-02-22
Headphones,Electronics,3100,2023-02-23
Fitness Tracker,Sports,2200,2023-02-24
Tablet,Electronics,4900,2023-02-25
Basketball,Sports,1800,2023-02-26
Wireless Earbuds,Electronics,4000,2023-02-27
Smart Watch,Electronics,4500,2023-02-28
Tennis Racket,Sports,2600,2023-03-01
Gaming Console,Electronics,6300,2023-03-02
Soccer Ball,Sports,2100,2023-03-03
Smartphone,Electronics,5500,2023-03-04
Laptop,Electronics,7900,2023-03-05
Running Shoes,Sports,3600,2023-03-06
Headphones,Electronics,3200,2023-03-07
Fitness Tracker,Sports,2300,2023-03-08
Tablet,Electronics,5000,2023-03-09
Basketball,Sports,1900,2023-03-10
Wireless Earbuds,Electronics,4100,2023-03-11
Smart Watch,Electronics,4600,2023-03-12
Tennis Racket,Sports,2700,2023-03-13
Gaming Console,Electronics,6400,2023-03-14
Soccer Ball,Sports,2200,2023-03-15
Smartphone,Electronics,5600,2023-03-16
Laptop,Electronics,8000,2023-03-17
Running Shoes,Sports,3700,2023-03-18
Headphones,Electronics,3300,2023-03-19
Fitness Tracker,Sports,2400,2023-03-20
Tablet,Electronics,5100,2023-03-21
Basketball,Sports,2000,2023-03-22
Wireless Earbuds,Electronics,4200,2023-03-23
Smart Watch,Electronics,4700,2023-03-24
Tennis Racket,Sports,2800,2023-03-25
Gaming Console,Electronics,6500,2023-03-26
Soccer Ball,Sports,2300,2023-03-27
Smartphone,Electronics,5700,2023-03-28
Laptop,Electronics,8100,2023-03-29
Running Shoes,Sports,3800,2023-03-30
Headphones,Electronics,3400,2023-03-31
Fitness Tracker,Sports,2500,2023-04-01
Tablet,Electronics,5200,2023-04-02
Basketball,Sports,2100,2023-04-03
Wireless Earbuds,Electronics,4300,2023-04-04
Smart Watch,Electronics,4800,2023-04-05
Tennis Racket,Sports,2900,2023-04-06
Gaming Console,Electronics,6600,2023-04-07
Soccer Ball,Sports,2400,2023-04-08
Smartphone,Electronics,5800,2023-04-09
Laptop,Electronics,8200,2023-04-10
Running Shoes,Sports,3900,2023-04-11
Headphones,Electronics,3500,2023-04-12
Fitness Tracker,Sports,2600,2023-04-13
Tablet,Electronics,5300,2023-04-14
Basketball,Sports,2200,2023-04-15
Wireless Earbuds,Electronics,4400,2023-04-16
Smart Watch,Electronics,4900,2023-04-17
Tennis Racket,Sports,3000,2023-04-18
Gaming Console,Electronics,6700,2023-04-19
Soccer Ball,Sports,2500,2023-04-20
